,Insult,Date,Comment,Comment_stemmed,Comment constructed,comment length,sentences length,max length
1148,0,20120612010436Z," Crap ,  your ChicK as got a run .  ","crap , your chick as got a run .",['Crap your ChicK as got a run'],1,[7],7
1149,0,20120618211456Z, Yeah but we love a good smack down ,yeah but we love a good smack down,['Yeah but we love a good smack down'],1,[8],8
1150,0,20120611190438Z, clintons shirt should read way to go Barry i screwed a intern you screwed the whole country ,clinton shirt should read way to go barri i screw a intern you screw the whole countri,['clintons shirt should read way to go Barry i screwed a intern you screwed the whole country'],1,[17],17
1151,0,20120611202808Z, I think I am in love with you ..  ,i think i am in love with you ..,['I think I am in love with you'],1,[8],8
1152,0,," THEY FUCKING SLAYED !!  They just SLAYED everyone and MY LIFE with that SEXY ,  FLAWLESS ,  EPIC PERFORMANCE .  ","they fuck slay !! they just slay everyon and my life with that sexi , flawless , epic perform .","['THEY FUCKING SLAYED', 'They just SLAYED everyone and MY LIFE with that SEXY FLAWLESS EPIC PERFORMANCE']",2,"[3, 13]",13
1153,0,20120528005943Z, I love Serendipity 3 is Frrozen Haute Chocolate .  ,i love serendip 3 is frrozen haut chocol .,['I love Serendipity 3 is Frrozen Haute Chocolate'],1,[8],8
1154,0,20120618232602Z, You shit me not .  What is that all about ?  ,you shit me not . what is that all about ?,"['You shit me not', 'What is that all about']",2,"[4, 5]",5
1155,0,20120530134834Z, It is the title that matters in this case :) ,it is the titl that matter in this case :),['It is the title that matters in this case'],1,[9],9
1156,0,20120619235729Z," Yes ,  they are ,  and Ireland is the richest .  ","yes , they are , and ireland is the richest .",['Yes they are and Ireland is the richest'],1,[8],8
1157,0,20120610081049Z," Dear Lord ,  i believe you are guiding me to find my destiny .  there may be lost ,  there may be obstacles ,  there may be faliures ,  there may be disappointments .  Yet ,  i never give up my fight for a wiser way of life .  May you be always with us ,  and guide us away from getting lost .  ","dear lord , i believ you are guid me to find my destini . there may be lost , there may be obstacl , there may be faliur , there may be disappoint . yet , i never give up my fight for a wiser way of life . may you be alway with us , and guid us away from get lost .","['Dear Lord i believe you are guiding me to find my destiny', 'there may be lost there may be obstacles there may be faliures there may be disappointments', 'Yet i never give up my fight for a wiser way of life', 'May you be always with us and guide us away from getting lost']",4,"[12, 16, 13, 13]",16
1158,0,20120619194931Z, Obama is working as fast as he can .  ,obama is work as fast as he can .,['Obama is working as fast as he can'],1,[8],8
1159,0,20120529202535Z, Easy to tell when it is the off season .  Ubbs should put a crossword puzzle on the blog .  ,easi to tell when it is the off season . ubb should put a crossword puzzl on the blog .,"['Easy to tell when it is the off season', 'Ubbs should put a crossword puzzle on the blog']",2,"[9, 9]",9
1160,1,20120610193549Z, you are an idiot..why do you even bother..??.Wasted words .  ,you are an idiot..whi do you even bother..??.wast word .,"['you are an idiot', 'why do you even bother', 'Wasted words']",3,"[4, 5, 2]",5
1161,0,, and rape and incest ?  That is self control too ?  ,and rape and incest ? that is self control too ?,"['and rape and incest', 'That is self control too']",2,"[4, 5]",5
1162,0,20120610040020Z, my big homo lil wayne fucks this nigger in his ass when it comes to music ,my big homo lil wayn fuck this nigger in his ass when it come to music,['my big homo lil wayne fucks this nigger in his ass when it comes to music'],1,[16],16
1163,0,20120529211749Z, Irony ?  This has nothing to do with !  You just can not take off your rosecolored glasses long enough to see that there is a real problem a dodger stadium !  They need to tear that dump down and relocate ,ironi ? this has noth to do with ! you just can not take off your rosecolor glass long enough to see that there is a real problem a dodger stadium ! they need to tear that dump down and reloc,"['Irony', 'This has nothing to do with', 'You just can not take off your rosecolored glasses long enough to see that there is a real problem a dodger stadium', 'They need to tear that dump down and relocate']",4,"[1, 6, 22, 9]",22
1164,0,, Is that why your head smells like Obamas ass ?  ,is that whi your head smell like obama ass ?,['Is that why your head smells like Obamas ass'],1,[9],9
1165,0,20120620005935Z, Exactly .  McCain is not sexist .  He is also responsible for that complete fucking imbecile Joe the Plumber .  ,exact . mccain is not sexist . he is also respons for that complet fuck imbecil joe the plumber .,"['Exactly', 'McCain is not sexist', 'He is also responsible for that complete fucking imbecile Joe the Plumber']",3,"[1, 4, 12]",12
1166,0,20120530144654Z," That is the difference .  They can not just make a run and think they can win against the Spur s .  They have to be able to make stops when it counts .  Young team ,  bright future .  ","that is the differ . they can not just make a run and think they can win against the spur s . they have to be abl to make stop when it count . young team , bright futur .","['That is the difference', 'They can not just make a run and think they can win against the Spur s', 'They have to be able to make stops when it counts', 'Young team bright future']",4,"[4, 16, 11, 4]",16
1167,1,, LOL !!  Do you even realize you are making a fool of yourself ?  I bet next you will post something Like I forwarded your post to the FBI or maybe I told my mommy Speaking of growing up Get busy .  ,lol !! do you even realiz you are make a fool of yourself ? i bet next you will post someth like i forward your post to the fbi or mayb i told my mommi speak of grow up get busi .,"['LOL', 'Do you even realize you are making a fool of yourself', 'I bet next you will post something Like I forwarded your post to the FBI or maybe I told my mommy Speaking of growing up Get busy']",3,"[1, 11, 27]",27
1168,0,20120609235117Z, this is getting very silly..headline MY RACE HELL..a tad dramatic ..  ,this is get veri silly..headlin my race hell..a tad dramat ..,"['this is getting very silly', 'headline MY RACE HELL', 'a tad dramatic']",3,"[5, 4, 3]",5
1169,0,20120530040622Z, aww you go back checking your posts for likes .  how sad .  ,aww you go back check your post for like . how sad .,"['aww you go back checking your posts for likes', 'how sad']",2,"[9, 2]",9
1170,1,20120612130916Z, You stupid f uu c k .  I hope you die the same way she did .  ,you stupid f uu c k . i hope you die the same way she did .,"['You stupid f uu c k', 'I hope you die the same way she did']",2,"[6, 9]",9
1171,1,20120620162014Z," But ,  you couldn t show ANY proof of that ,  even if it was true .  Go away .  you are an embarassment to your Klan brothers ,  your family ,  your neighbors ,  your teachers and America as a whole .  Find something to say that is not directly quoting Nazi or Stalinist propaganda .  The most pathetic poster on the web .  you are below Oberbite ,  a Soros trool or the ignorant little heap that wwrote Waiting to Exhale . ","but , you couldn t show ani proof of that , even if it was true . go away . you are an embarass to your klan brother , your famili , your neighbor , your teacher and america as a whole . find someth to say that is not direct quot nazi or stalinist propaganda . the most pathet poster on the web . you are below oberbit , a soro trool or the ignor littl heap that wwrote wait to exhal .","['But you couldn t show ANY proof of that even if it was true', 'Go away', 'you are an embarassment to your Klan brothers your family your neighbors your teachers and America as a whole', 'Find something to say that is not directly quoting Nazi or Stalinist propaganda', 'The most pathetic poster on the web', 'you are below Oberbite a Soros trool or the ignorant little heap that wwrote Waiting to Exhale']",6,"[14, 2, 19, 13, 7, 17]",19
1172,0,20120620134646Z, Many ppl report seeing an officer pounding away at his chest while screaming breathe you motherfucker .  ,mani ppl report see an offic pound away at his chest while scream breath you motherfuck .,['Many ppl report seeing an officer pounding away at his chest while screaming breathe you motherfucker'],1,[16],16
1173,0,, iv installed but siri just says unable to help please try later ? ,iv instal but siri just say unabl to help pleas tri later ?,['iv installed but siri just says unable to help please try later'],1,[12],12
1174,0,20120610042435Z," Yes ,  they are hope you are feeling better .  TIME HEALS EVERYTHING no matter how many folks say this to you and no matter how much you think your life is over..it is not and it will .  HUGS ","yes , they are hope you are feel better . time heal everyth no matter how mani folk say this to you and no matter how much you think your life is over..it is not and it will . hug","['Yes they are hope you are feeling better', 'TIME HEALS EVERYTHING no matter how many folks say this to you and no matter how much you think your life is over', 'it is not and it will', 'HUGS']",4,"[8, 23, 6, 1]",23
1175,0,," For those of you who do not know this ,  check out the Dep .  of Ag .  The food stamp program comes out of the Dep .  of Ag .  budget .  For those of us who are farmers ,  we would like that explained to all and we would also like the US government to get out of our business with their cheap food policy . The regulations and demands made on farmers by the USDA ,  EPA ,  IRS ,  NSC ,  etc .  would blow your minds .  And don\ t forget PETA !  Enjoy every bite of food that you take ,  unless of course it is NOT grown in this country farmers in other parts of the world do NOT have to abide by the same rules we do .  I have no problem cutting the budget any business that wants to stay in operation has to be lean to prosper .  ","for those of you who do not know this , check out the dep . of ag . the food stamp program come out of the dep . of ag . budget . for those of us who are farmer , we would like that explain to all and we would also like the us govern to get out of our busi with their cheap food polici . the regul and demand made on farmer by the usda , epa , ir , nsc , etc . would blow your mind . and don\ t forget peta ! enjoy everi bite of food that you take , unless of cours it is not grown in this countri farmer in other part of the world do not have to abid by the same rule we do . i have no problem cut the budget ani busi that want to stay in oper has to be lean to prosper .","['For those of you who do not know this check out the Dep', 'of Ag', 'The food stamp program comes out of the Dep', 'of Ag', 'budget', 'For those of us who are farmers we would like that explained to all and we would also like the US government to get out of our business with their cheap food policy', 'The regulations and demands made on farmers by the USDA EPA IRS NSC etc', 'would blow your minds', 'And don t forget PETA', 'Enjoy every bite of food that you take unless of course it is NOT grown in this country farmers in other parts of the world do NOT have to abide by the same rules we do', 'I have no problem cutting the budget any business that wants to stay in operation has to be lean to prosper']",11,"[13, 2, 9, 2, 1, 33, 14, 4, 5, 36, 21]",36
1176,0,," _hashtag_ Il have to pack my things and go,dont my me I have been working on my Ray Charles chops ","_hashtag_ il have to pack my thing and go,dont my me i have been work on my ray charl chop",['_hashtag_ Il have to pack my things and go dont my me I have been working on my Ray Charles chops'],1,[21],21
1177,0,20120527185956Z, Being a natural born citizen is not based on the nationality of your parents .  ,be a natur born citizen is not base on the nation of your parent .,['Being a natural born citizen is not based on the nationality of your parents'],1,[14],14
1178,0,20120529083811Z, I have come to discover that actually know the name of an official can mean nothing good .  ,i have come to discov that actual know the name of an offici can mean noth good .,['I have come to discover that actually know the name of an official can mean nothing good'],1,[17],17
1179,0,20120530074948Z, Michael Jordan won his first title after seven years .  LeBron is in his ninth season .  ,michael jordan won his first titl after seven year . lebron is in his ninth season .,"['Michael Jordan won his first title after seven years', 'LeBron is in his ninth season']",2,"[9, 6]",9
1180,1,20120620073123Z, All these news are planted and for getting some extra media attention that is all ..bloody fucker ..ranbir fucker kapoor .  ,all these news are plant and for get some extra media attent that is all ..bloodi fucker ..ranbir fucker kapoor .,"['All these news are planted and for getting some extra media attention that is all', 'bloody fucker', 'ranbir fucker kapoor']",3,"[15, 2, 3]",15
1181,1,20120612115443Z," Are you fucking dumb ?  making it clear that the group was delaying their comeback due to album production and not to avoid competition with other groups .  You should be thankful that 2ne1 didn t cameback this june ,  if 2ne1 did ,  those awards will be owned by 2ne1 .  Fuckin insicured fx fan .  ","are you fuck dumb ? make it clear that the group was delay their comeback due to album product and not to avoid competit with other group . you should be thank that 2ne1 didn t cameback this june , if 2ne1 did , those award will be own by 2ne1 . fuckin insicur fx fan .","['Are you fucking dumb', 'making it clear that the group was delaying their comeback due to album production and not to avoid competition with other groups', 'You should be thankful that 2ne1 didn t cameback this june if 2ne1 did those awards will be owned by 2ne1', 'Fuckin insicured fx fan']",4,"[4, 22, 21, 4]",22
1182,0,20120610051138Z, wtff is this shit ??  he shot the fuck out for this shit ..  Diz won and i only seen this clip of the battle .  smh ..  ,wtff is this shit ?? he shot the fuck out for this shit .. diz won and i onli seen this clip of the battl . smh ..,"['wtff is this shit', 'he shot the fuck out for this shit', 'Diz won and i only seen this clip of the battle', 'smh']",4,"[4, 8, 11, 1]",11
1183,0,20120611171212Z, Obama is econimic plan BS ! !  ,obama is econim plan bs ! !,['Obama is econimic plan BS'],1,[5],5
1184,1,20120320161748Z, you are an IDIOT !!  ,you are an idiot !!,['you are an IDIOT'],1,[4],4
1185,0,20120620001218Z," How is it reasonable ,  Anon ,  when Harper has done none of the things you attribute to Fascism ?  All powerful leader ?  Has to stand for re election in three years .  Strict social order ?  you are joking ,  right ?  Glorification of militarism ?  The troops have been recalled and their budget trimmed .  Opposition parties ?  Hale and hearty and full of piss and vinegar .  Elimination of organized labour ?  No ,  they did that to themselves by pricing themselves out of the market .  Advancement of business over individuals ?  Elaborate .  Ethno centrism ?  Try Qu bec ,  Thomas Mulcair is home ground .  Disparagement of the Constitution ?  That is the SCC is specialty .  Belittling the courts ?  Who doesn t ,  these days ,  and for good reason .  Dissolution of MP power ?  Do you see the House of Commons burning (along with those crosses in Prince George) ?  Spying on ordinary citizens ?  Child pornographers are not ordinary citizens .  Judging by the raving of Harper is enemies on these blogs ,  if he wins another majority ,  there is going to be a worldwide tinfoil shortage .  ","how is it reason , anon , when harper has done none of the thing you attribut to fascism ? all power leader ? has to stand for re elect in three year . strict social order ? you are joke , right ? glorif of militar ? the troop have been recal and their budget trim . opposit parti ? hale and hearti and full of piss and vinegar . elimin of organ labour ? no , they did that to themselv by price themselv out of the market . advanc of busi over individu ? elabor . ethno centrism ? tri qu bec , thoma mulcair is home ground . disparag of the constitut ? that is the scc is specialti . belittl the court ? who doesn t , these day , and for good reason . dissolut of mp power ? do you see the hous of common burn (along with those cross in princ george) ? spi on ordinari citizen ? child pornograph are not ordinari citizen . judg by the rave of harper is enemi on these blog , if he win anoth major , there is go to be a worldwid tinfoil shortag .","['How is it reasonable Anon when Harper has done none of the things you attribute to Fascism', 'All powerful leader', 'Has to stand for re election in three years', 'Strict social order', 'you are joking right', 'Glorification of militarism', 'The troops have been recalled and their budget trimmed', 'Opposition parties', 'Hale and hearty and full of piss and vinegar', 'Elimination of organized labour', 'No they did that to themselves by pricing themselves out of the market', 'Advancement of business over individuals', 'Elaborate', 'Ethno centrism', 'Try Qu bec Thomas Mulcair is home ground', 'Disparagement of the Constitution', 'That is the SCC is specialty', 'Belittling the courts', 'Who doesn t these days and for good reason', 'Dissolution of MP power', 'Do you see the House of Commons burning', 'along with those crosses in Prince George', 'Spying on ordinary citizens', 'Child pornographers are not ordinary citizens', 'Judging by the raving of Harper is enemies on these blogs if he wins another majority there is going to be a worldwide tinfoil shortage']",25,"[17, 3, 9, 3, 4, 3, 9, 2, 9, 4, 13, 5, 1, 2, 8, 4, 6, 3, 9, 4, 8, 7, 4, 6, 25]",25
1186,1,20120611025055Z," Well ,  I WAS born and raised in Africa and proud of it !  Wth do you think Africans are lesser than you or something ??  Take your ignorant ass somewhere else cuz I am not the one .  ","well , i was born and rais in africa and proud of it ! wth do you think african are lesser than you or someth ?? take your ignor ass somewher els cuz i am not the one .","['Well I WAS born and raised in Africa and proud of it', 'Wth do you think Africans are lesser than you or something', 'Take your ignorant ass somewhere else cuz I am not the one']",3,"[12, 11, 12]",12
1187,0,20120610023625Z," See ,  I was actually reading your comment ,  until I got to the comment ,  but I completely backed Herman Cain before he backed out because of the scandal .  Then I realized ,  you know nothing about politics .  Do some research .  Then come back and make an educated comment .  ","see , i was actual read your comment , until i got to the comment , but i complet back herman cain befor he back out becaus of the scandal . then i realiz , you know noth about polit . do some research . then come back and make an educ comment .","['See I was actually reading your comment until I got to the comment but I completely backed Herman Cain before he backed out because of the scandal', 'Then I realized you know nothing about politics', 'Do some research', 'Then come back and make an educated comment']",4,"[27, 8, 3, 8]",27
1188,0,20120610003130Z, So you think Cigar Willie Clinton will help obongo win ?  Balack Obongo has learned his lesson too late .  You cant trust a fuckingliberal .  Just like you cant trust a liberal troll commenter .  ,so you think cigar willi clinton will help obongo win ? balack obongo has learn his lesson too late . you cant trust a fuckingliber . just like you cant trust a liber troll comment .,"['So you think Cigar Willie Clinton will help obongo win', 'Balack Obongo has learned his lesson too late', 'You cant trust a fuckingliberal', 'Just like you cant trust a liberal troll commenter']",4,"[10, 8, 5, 9]",10
1189,0,20120528233639Z," I never liked interleague play but they didn t ask me ,  lol .  ","i never like interleagu play but they didn t ask me , lol .",['I never liked interleague play but they didn t ask me lol'],1,[12],12
1190,1,20120620111856Z," And odumbo is an old lying,inept,loser,communist,ni66er,what is your point ?  ","and odumbo is an old lying,inept,loser,communist,ni66er,what is your point ?",['And odumbo is an old lying inept loser communist ni66er what is your point'],1,[14],14
1191,0,20120515185619Z, Mom looks like an ol ho from way back herself .  Screw her and her pervert _CR_ ,mom look like an ol ho from way back herself . screw her and her pervert _cr_,"['Mom looks like an ol ho from way back herself', 'Screw her and her pervert _CR_']",2,"[10, 6]",10
1192,0,20120610114910Z," When you could not reveal the names given of foreign a/c holders ,  you are nothing but an another piece of crap like PM ,  chidu ,  deshmukh ,  salman etc ;  you all lost the confidence of public because of lies after lies .  History will never forgive you guys .  ","when you could not reveal the name given of foreign a/c holder , you are noth but an anoth piec of crap like pm , chidu , deshmukh , salman etc ; you all lost the confid of public becaus of lie after lie . histori will never forgiv you guy .","['When you could not reveal the names given of foreign a c holders you are nothing but an another piece of crap like PM chidu deshmukh salman etc', 'you all lost the confidence of public because of lies after lies', 'History will never forgive you guys']",3,"[28, 12, 6]",28
1193,0,20120609210546Z, When that nigger tighten his belt I knew he couldnt fucked up ..  He look like WANDA ,when that nigger tighten his belt i knew he couldnt fuck up .. he look like wanda,"['When that nigger tighten his belt I knew he couldnt fucked up', 'He look like WANDA']",2,"[12, 4]",12
1194,0,20120612095155Z," VIVA mi odpisa a ,  e klip b dzie emitowany jak tylko otrzymaj emisyjny teledysk .  ","viva mi odpisa a , e klip b dzie emitowani jak tylko otrzymaj emisyjni teledysk .",['VIVA mi odpisa a e klip b dzie emitowany jak tylko otrzymaj emisyjny teledysk'],1,[14],14
1195,0,20120620175609Z," That is what the Full Comment banner at the top is for ..  but you are right ,  the front page links to opinion pieces without indicating them as such .  ","that is what the full comment banner at the top is for .. but you are right , the front page link to opinion piec without indic them as such .","['That is what the Full Comment banner at the top is for', 'but you are right the front page links to opinion pieces without indicating them as such']",2,"[12, 16]",16
1196,0,20120530030207Z, Are you rooting for Nole now ?  ,are you root for nole now ?,['Are you rooting for Nole now'],1,[6],6
1197,0,20120611041254Z, _hashtag_ _url_ 0BAMA _url_ _url_ iN _url_ 2o12 _url_ _url_ iNHERiT _url_ _url_ THE _url_ _url_ WiND _url_ _url_ 0BAMA _url_ _url_ iN _url_ 2o12 _url_ _url_ _url_ 1334936874 ..THEY D0 ABS0LUTELY N0THiNG _url_ _url_ DELUSi0NAL _url_ _url_ _url_ ANGRY _url_ _url_ SELFiSH _url_ _url_ _url_ LYiNG _url_ _url_ _url_ STiNGY _url_ _url_ C0RRUPT _url_ _url_ GREEDY _url_ _url_ _url_ CROOKED _url_ _url_ _url_ C0MMUNiST _url_ _url_ _url_ REPUBLiCANS _url_ _url_ _url_ ALL HAVE COMMiTTED P0LiTiCAL SUiCiDE 4 2o12 _url_ ..THE UNRE ELECTABLE BiGTiME LAZY WHiNiNGASS CRYBABY PATHETiC _url_ LOSER _url_ DEMON _url_ THE _url_ PACiFiER SUCKA B0EHNER _url_ DAMN RiTE _url_ LUGAR iS DEFiNiTELY OUT _url_ & YOU ARE NEXT ..THE UNM0TiVATED UNRE ELECTABLE WELL KN0WN SUPER DASTARDLY WEAKMiNDED _url_ S0RRYASS QUiTTER & LOSER _url_ DEMON ERiC _url_ THE COWARDLY _url_ _url_ WEASEL CANT0R _url_ DAMN RiTE _url_ LUGAR iS DEFiNiTELY OUT _url_ & YOU ARE NEXT _url_ ..THE 0LD _url_ DUMBASS & LOSER _url_ DEMON iTS DEFiNiTELY TiME 2RETiRE _url_ MiTCH _url_ THE BiGG _url_ TiME EViL SNiTCH _url_ McC0NNELL _url_ DAMN RiTE _url_ LUGAR iS DEFiNiTELY OUT _url_ & YOU ARE NEXT iNHERiT _url_ THE _url_ WiND YOU ARE MOST DEFiNiTELY G0iNG _url_ 2B0W D0WN _url_ ..BELiEVE ..  _url_ Y0UR 0BSTRUCTiONiSM & _url_ D0 ABS0LUTELY N0THiNG _url_ FiNAL DAYS AR E MOST DEFiNiTELY NUMBERED _url_ iT iS PERMANENTLY ENGRAVED iN ST0NE _url_ DAMN RiTE _url_ PRESiDENT OBAMA _url_ A MAN 0F ALL THE PE0PLE iN 2o12 _url_ ..FORWARD ..Give Moe Powwa 2Da Peeps ,_hashtag_ _url_ 0bama _url_ _url_ in _url_ 2o12 _url_ _url_ inherit _url_ _url_ the _url_ _url_ wind _url_ _url_ 0bama _url_ _url_ in _url_ 2o12 _url_ _url_ _url_ 1334936874 ..they d0 abs0lut n0thing _url_ _url_ delusi0n _url_ _url_ _url_ angri _url_ _url_ selfish _url_ _url_ _url_ lie _url_ _url_ _url_ stingi _url_ _url_ c0rrupt _url_ _url_ greedi _url_ _url_ _url_ crook _url_ _url_ _url_ c0mmunist _url_ _url_ _url_ republican _url_ _url_ _url_ all have commit p0litic suicid 4 2o12 _url_ ..the unr elect bigtim lazi whiningass crybabi pathet _url_ loser _url_ demon _url_ the _url_ pacifi sucka b0ehner _url_ damn rite _url_ lugar is definit out _url_ & you are next ..the unm0tiv unr elect well kn0wn super dastard weakmind _url_ s0rryass quitter & loser _url_ demon eric _url_ the coward _url_ _url_ weasel cant0r _url_ damn rite _url_ lugar is definit out _url_ & you are next _url_ ..the 0ld _url_ dumbass & loser _url_ demon it definit time 2retir _url_ mitch _url_ the bigg _url_ time evil snitch _url_ mcc0nnell _url_ damn rite _url_ lugar is definit out _url_ & you are next inherit _url_ the _url_ wind you are most definit g0ing _url_ 2b0w d0wn _url_ ..believ .. _url_ y0ur 0bstruction & _url_ d0 abs0lut n0thing _url_ final day ar e most definit number _url_ it is perman engrav in st0ne _url_ damn rite _url_ presid obama _url_ a man 0f all the pe0pl in 2o12 _url_ ..forward ..give moe powwa 2da peep,"['_hashtag_ _url_ 0BAMA _url_ _url_ iN _url_ 2o12 _url_ _url_ iNHERiT _url_ _url_ THE _url_ _url_ WiND _url_ _url_ 0BAMA _url_ _url_ iN _url_ 2o12 _url_ _url_ _url_ 1334936874', 'THEY D0 ABS0LUTELY N0THiNG _url_ _url_ DELUSi0NAL _url_ _url_ _url_ ANGRY _url_ _url_ SELFiSH _url_ _url_ _url_ LYiNG _url_ _url_ _url_ STiNGY _url_ _url_ C0RRUPT _url_ _url_ GREEDY _url_ _url_ _url_ CROOKED _url_ _url_ _url_ C0MMUNiST _url_ _url_ _url_ REPUBLiCANS _url_ _url_ _url_ ALL HAVE COMMiTTED P0LiTiCAL SUiCiDE 4 2o12 _url_', 'THE UNRE ELECTABLE BiGTiME LAZY WHiNiNGASS CRYBABY PATHETiC _url_ LOSER _url_ DEMON _url_ THE _url_ PACiFiER SUCKA B0EHNER _url_ DAMN RiTE _url_ LUGAR iS DEFiNiTELY OUT _url_ & YOU ARE NEXT', 'THE UNM0TiVATED UNRE ELECTABLE WELL KN0WN SUPER DASTARDLY WEAKMiNDED _url_ S0RRYASS QUiTTER & LOSER _url_ DEMON ERiC _url_ THE COWARDLY _url_ _url_ WEASEL CANT0R _url_ DAMN RiTE _url_ LUGAR iS DEFiNiTELY OUT _url_ & YOU ARE NEXT _url_', 'THE 0LD _url_ DUMBASS & LOSER _url_ DEMON iTS DEFiNiTELY TiME 2RETiRE _url_ MiTCH _url_ THE BiGG _url_ TiME EViL SNiTCH _url_ McC0NNELL _url_ DAMN RiTE _url_ LUGAR iS DEFiNiTELY OUT _url_ & YOU ARE NEXT iNHERiT _url_ THE _url_ WiND YOU ARE MOST DEFiNiTELY G0iNG _url_ 2B0W D0WN _url_', 'BELiEVE', '_url_ Y0UR 0BSTRUCTiONiSM & _url_ D0 ABS0LUTELY N0THiNG _url_ FiNAL DAYS AR E MOST DEFiNiTELY NUMBERED _url_ iT iS PERMANENTLY ENGRAVED iN ST0NE _url_ DAMN RiTE _url_ PRESiDENT OBAMA _url_ A MAN 0F ALL THE PE0PLE iN 2o12 _url_', 'FORWARD', 'Give Moe Powwa 2Da Peeps']",9,"[29, 51, 31, 38, 50, 1, 39, 1, 5]",51
1198,0,20120620154635Z, The great problem with trying to make yourself stupider than you are is that you often succeed .  from the Magician is Nephew (if memory serves..) ,the great problem with tri to make yourself stupid than you are is that you often succeed . from the magician is nephew (if memori serves..),"['The great problem with trying to make yourself stupider than you are is that you often succeed', 'from the Magician is Nephew', 'if memory serves']",3,"[17, 5, 3]",17
1199,0,20120515170815Z, I guess you are those who have a fetish for huge silicon boobs .  ,i guess you are those who have a fetish for huge silicon boob .,['I guess you are those who have a fetish for huge silicon boobs'],1,[13],13
1200,0,20120620120256Z," pretty much the same thing happens to most of the animals in factory farms .  This keychain business is horrible ,  but remember so are battery chicken farms ,  dairy farms and so on .  know how food and clothes and everything you use is produced .  Often there are animals that suffer to produce those things .  utilize the internet ,  know the truths !  It will change your diet and the way you live : ) ","pretti much the same thing happen to most of the anim in factori farm . this keychain busi is horribl , but rememb so are batteri chicken farm , dairi farm and so on . know how food and cloth and everyth you use is produc . often there are anim that suffer to produc those thing . util the internet , know the truth ! it will chang your diet and the way you live : )","['pretty much the same thing happens to most of the animals in factory farms', 'This keychain business is horrible but remember so are battery chicken farms dairy farms and so on', 'know how food and clothes and everything you use is produced', 'Often there are animals that suffer to produce those things', 'utilize the internet know the truths', 'It will change your diet and the way you live']",6,"[14, 17, 11, 10, 6, 10]",17
1201,0,20120515232334Z, You would know a thing or two about having trains ran on yourself sending messages from theo lacy ..  ,you would know a thing or two about have train ran on yourself send messag from theo laci ..,['You would know a thing or two about having trains ran on yourself sending messages from theo lacy'],1,[18],18
1202,0,20120612082829Z, I am assuming he has a mustache as well as the headphones and ipod case ?  It probably would have been more relevent to mention that .  ,i am assum he has a mustach as well as the headphon and ipod case ? it probabl would have been more relev to mention that .,"['I am assuming he has a mustache as well as the headphones and ipod case', 'It probably would have been more relevent to mention that']",2,"[15, 10]",15
1203,0,20120527173403Z, He was almost hit in the head by the previous pitch .  He was a little out of place after that pitch .  Imagine getting a curveball towards the head (missing you) and then on the next pitch is a 94 mph fastball down the middle .  No way your reaction will be to swing .  ,he was almost hit in the head by the previous pitch . he was a littl out of place after that pitch . imagin get a curvebal toward the head (miss you) and then on the next pitch is a 94 mph fastbal down the middl . no way your reaction will be to swing .,"['He was almost hit in the head by the previous pitch', 'He was a little out of place after that pitch', 'Imagine getting a curveball towards the head', 'missing you', 'and then on the next pitch is a 94 mph fastball down the middle', 'No way your reaction will be to swing']",6,"[11, 10, 7, 2, 14, 8]",14
1204,1,20120610002614Z, try speaking in correct english as well .  what dummies are on here today .  ,tri speak in correct english as well . what dummi are on here today .,"['try speaking in correct english as well', 'what dummies are on here today']",2,"[7, 6]",7
1205,0,20120530052359Z, Nothing has been proven at all .  Just like all those birther lawsuits .  There is NO proof .  Just because a bunch of gullible people believe it doesn t make it true .  ,noth has been proven at all . just like all those birther lawsuit . there is no proof . just becaus a bunch of gullibl peopl believ it doesn t make it true .,"['Nothing has been proven at all', 'Just like all those birther lawsuits', 'There is NO proof', 'Just because a bunch of gullible people believe it doesn t make it true']",4,"[6, 6, 4, 14]",14
1206,0,20120530123140Z, You clearly do not know him .  ,you clear do not know him .,['You clearly do not know him'],1,[6],6
1207,1,20120619035434Z, Who the hell do you think you are saying anything !  SOUNDS LIKE YOU ARE THE UNEDUCATED IGNORANT PIECES OF SHIT TO ME !!  ,who the hell do you think you are say anyth ! sound like you are the uneduc ignor piec of shit to me !!,"['Who the hell do you think you are saying anything', 'SOUNDS LIKE YOU ARE THE UNEDUCATED IGNORANT PIECES OF SHIT TO ME']",2,"[10, 12]",12
1208,1,20120618231138Z, Answer :  Yes .  No .  Yes .  Are you retarded ?  Meh .  Nope .  ,answer : yes . no . yes . are you retard ? meh . nope .,"['Answer', 'Yes', 'No', 'Yes', 'Are you retarded', 'Meh', 'Nope']",7,"[1, 1, 1, 1, 3, 1, 1]",3
1209,0,, what kills me is if you disagree with me that you are a racist .  ,what kill me is if you disagre with me that you are a racist .,['what kills me is if you disagree with me that you are a racist'],1,[14],14
1210,1,20120619112530Z, You do not wear your brain bucket ..you only hurt you and your family .  You become impaired you have the ability to hurt everyone .  ,you do not wear your brain bucket ..you onli hurt you and your famili . you becom impair you have the abil to hurt everyon .,"['You do not wear your brain bucket', 'you only hurt you and your family', 'You become impaired you have the ability to hurt everyone']",3,"[7, 7, 10]",10
